H2S release rate;dipeptide;thioacid;;ratio
0;1.33237;1.66763;;0.79896020100382
0.01;1.33598;1.66402;;0.802862946358818
0.1;1.36367;1.63633;;0.833371019293174
0.2;1.39706;1.60294;;0.87156100665028
0.3;1.43272;1.56728;;0.914144249910673
0.4;1.46961;1.53039;;0.960284633328759
0.5;1.50658;1.49342;;1.00881198858995
0.6;1.5427;1.45729;;1.058608787544
0.7;1.57736;1.42262;;1.10877114057162
0.8;1.61024;1.38971;;1.15868778378223
0.9;1.64121;1.3587;;1.20792669463458
1;1.67024;1.3296;;1.25619735258724
2;1.87167;1.11995;;1.67120853609536
3;1.95474;1.00242;;1.95002094930269
4;1.98266;0.92747;;2.13770795820889
5;1.99212;0.87561;;2.2751224860383
6;1.9958;0.83764;;2.38264648297598
7;1.99746;0.80866;;2.47008631563327
8;1.99831;0.78582;;2.54296149245374
10;1.99913;0.75128;;2.66096528591204
12;1.99942;0.72853;;2.74445801820104
15;1.99964;0.70392;;2.84072053642459
20;1.99978;0.67827;;2.94835390036416
25;1.99984;0.66235;;3.01931003246018
30;1.99987;0.65152;;3.06954506385069
35;1.99989;0.64368;;3.10696308724832
40;1.9999;0.63773;;3.13596663164662
45;1.99991;0.63307;;3.15906613802581
50;1.99992;0.62931;;3.17795680983935
60;1.99992;0.62364;;3.20685010583029
80;1.99993;0.61649;;3.24405910882577
100;1.99994;0.61216;;3.26702169367486
120;1.99994;0.60926;;3.28257230082395
150;1.99995;0.60635;;3.29834254143646
200;1.99995;0.60343;;3.31430323318363
250;1.99995;0.60167;;3.32399820499609

