smiles; heat of formation [kcal/mol]
C;-1.81027
c1ccc(Cc2cnc[nH]2)cc1;49.44646
c1ccc(CCNc2ncc(Cc3ccccc3)o2)cc1;34.49833
c1ccc(CCNc2ncco2)cc1;15.74822
c1ccc(CCNc2ncnc3[nH]cnc23)cc1;84.36354
c1ccc(CCNc2[nH]cnc2Cc2ccccc2)cc1;66.69509
c1c[nH]cn1;33.53427
C1=Nc2[nH]cnc2C1;75.66975
CC1C=C(c2ccccc2)C(O)(CO)O1;-102.99556
CC1C=C(c2ccccc2)C(O)(C(=O)O)O1;-136.87624
CC1C=C(c2ccccc2)C(O)O1;-57.39937
CC1C=C(C(=O)O)C(O)(C(=O)O)O1;-242.54197
Cc1cnc(C#N)c(C#N)n1;115.78006
Cc1cnc(C(N)=O)c(C(N)=O)n1;-37.65544
Cc1cnc(C(N)=S)c(C(N)=S)n1;71.7131
Cc1cnc(C=O)c(C=O)n1;-8.86677
Cc1cnc(C(=O)O)c(C(=O)O)n1;-123.14539
Cc1cncn1C=CC#N;77.75207
Cc1cncn1C(=N)N;54.85216
Cc1cnc(N=Cc2ncnc3[nH]c(=O)c(=O)[nH]c23)o1;-3.83743
Cc1cnc(N=C(Cc2ccccc2)C(=O)O)o1;-47.08913
Cc1cnc(N=CCc2ccccc2)o1;37.68228
Cc1cnc(N=CCc2cnc[nH]2)o1;47.28611
Cc1cnc(N=CC(Cc2ccccc2)NC(=N)N)o1;57.16321
Cc1cnc(N=CCCc2ccccc2)o1;30.96032
Cc1cnc(N=CCCC2(C#N)NC(=O)N=C2N)o1;29.50108
Cc1cnc(N=CCCC(C#N)(C#N)NC(N)=O)o1;40.97035
Cc1cnc(N=CC(=CC(C)O)c2ccccc2)o1;0.82574
Cc1cnc(N=CCCC#N)o1;43.04239
Cc1cnc(N=CCCC(N)=O)o1;-34.39814
Cc1cnc(N=CC(=CCO)c2ccccc2)o1;7.91545
Cc1cnc(N=CCCC(=O)O)o1;-79.55529
Cc1cnc(N=CC(CNC(=N)N)C(O)C(=O)O)o1;-98.27665
Cc1cnc(N=CCCNC(=N)N)o1;30.22637
Cc1cnc(N=CC(C)NC(=N)N)o1;38.1831
Cc1cnc(NCCC#N)o1;21.01477
Cc1cnc(NC=CC#N)o1;38.20152
Cc1cnc(NC=CC(N)=O)o1;-38.12666
Cc1cnc(N=CC(CO)CC(C#N)(C#N)NC(N)=O)o1;-13.25442
Cc1cnc(N=CC(CO)CNC(=N)N)o1;-22.05452
Cc1cnc(N=CC(CO)(CO)CNC(=N)N)o1;-58.76795
Cc1cnc(NC(CCO)=C(O)C#N)o1;-48.56323
Cc1cnc(N=CC(CO)NC(=N)N)o1;-14.40326
Cc1cnc(N=CC(C)O)o1;-36.50393
Cc1cnc(NC(=CC(=O)O)C(=O)O)o1;-166.16725
Cc1cnc(N=CCN(CCc2ccccc2)C(=N)N)o1;56.47382
Cc1cnc(N=CCNC(=N)N)o1;36.42984
Cc1cnc(NCC#N)o1;27.98316
Cc1cnc(N=CC(O)Cc2ccccc2)o1;-10.55498
Cc1cnc(N=C(CO)Cc2ccccc2)o1;-16.19791
Cc1cnc(N=CC(=O)Cc2ccccc2)o1;6.75863
