no;smiles;biotic_flag;ExactMolWt;MolLogP;NumHAcceptors;NumHDonors
0;O=C(O)CC(O)(CC(=O)O)C(=O)O;1;192.02700259600002;-1.2484999999999995;4.0;4.0
1;Nc1nc(=O)[nH]c2[nH]cnc12;1;151.04940978;-0.7716000000000001;4.0;3.0
2;NC(CO)C(=O)NCC(=O)NCC(=O)NCC(=O)O;1;276.106984232;-4.260799999999996;6.0;6.0
3;NCC(=O)NC(CO)C(=O)O;1;162.0640568;-2.4931999999999994;4.0;4.0
4;OCC(O)CO;1;92.047344116;-1.6681000000000001;3.0;3.0
5;Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1;1;243.085520516;-2.563;8.0;4.0
6;NCC(=O)NCC(=O)NC(CC(=O)O)C(=O)O;1;247.080435136;-2.894599999999998;5.0;5.0
7;O=C(O)C=CC(=O)O;1;116.01095860800001;-0.28819999999999985;2.0;2.0
8;CC(N)C(=O)NC(CC(=O)O)C(=O)O;1;204.074621484;-1.6222999999999992;4.0;4.0
9;CC(N)C(=O)NCC(=O)NCC(=O)NCC(=O)O;1;260.112069612;-3.2331999999999974;5.0;5.0
10;NC(CO)C(=O)NC(CO)C(=O)O;1;192.074621484;-3.1322999999999994;5.0;5.0
11;CC(NC(=O)CNC(=O)CN)C(=O)O;1;203.090605896;-2.3493999999999975;4.0;4.0
12;Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O;1;267.096753896;-1.9800000000000006;9.0;4.0
13;O=C(CO)C(O)C(O)C(O)C(O)CO;1;210.073952788;-4.0163;7.0;6.0
14;Nc1ncnc2[nH]cnc12;1;135.05449516;-0.0648999999999999;4.0;2.0
15;O=C(O)CC(O)C(=O)O;1;134.021523292;-1.0934000000000001;3.0;3.0
16;NCC(=O)NCC(=O)O;1;132.053492116;-1.8540999999999999;3.0;3.0
17;NCC(=O)NCC(=O)NC(Cc1ccccc1)C(=O)O;1;279.121906024;-1.1265999999999983;4.0;4.0
18;O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1;1;168.028339988;-1.7672000000000003;3.0;4.0
19;NCC(=O)NCC(=O)NC(CO)C(=O)O;1;219.085520516;-3.3769999999999976;5.0;5.0
20;CC(O)C(N)C(=O)O;1;119.058243148;-1.2208999999999997;3.0;3.0
21;Cc1c[nH]c(=O)[nH]c1=O;1;126.042927432;-0.6283800000000002;2.0;2.0
22;NC(Cc1ccccc1)C(=O)NCC(=O)O;1;222.100442308;-0.24279999999999996;3.0;3.0
23;NCC(=O)NC(CC(=O)O)C(=O)O;1;190.05897142;-2.0107999999999997;4.0;4.0
24;CC(N)C(=O)NCC(=O)NCC(=O)O;1;203.090605896;-2.3493999999999984;4.0;4.0
25;CC(N)C(=O)NC(C)C(=O)O;1;160.084792244;-1.0770999999999997;3.0;3.0
26;CC(N)C(=O)NCC(=O)NC(CO)C(=O)O;1;233.10117058;-2.988499999999998;5.0;5.0
27;NC(N)=O;1;60.032362748;-0.9762000000000002;1.0;2.0
28;CC(N)C(=O)NC(Cc1ccccc1)C(=O)O;1;236.116092372;0.1457000000000001;3.0;3.0
29;O=CC(O)C(O)C(O)C(O)CO;1;180.063388104;-3.3788000000000005;6.0;5.0
30;NC(CO)C(=O)NCC(=O)O;1;162.0640568;-2.4932;4.0;4.0
31;O=c1ccn(C2OC(CO)C(O)C2O)c(=O)[nH]1;1;244.069536104;-2.8519;7.0;4.0
32;O=C(O)CCC(=O)O;1;118.02660867200001;-0.06420000000000009;2.0;2.0
33;CC(N)C(=O)O;1;89.047678464;-0.5817999999999999;2.0;2.0
34;NC(Cc1ccccc1)C(=O)O;1;165.078978592;0.641;2.0;2.0
35;O=c1cc[nH]c(=O)[nH]1;1;112.027277368;-0.9368000000000001;2.0;2.0
36;NCC(=O)NC(Cc1ccccc1)C(=O)O;1;222.100442308;-0.24279999999999952;3.0;3.0
37;O=c1[nH]c(=O)c2nc[nH]c2[nH]1;1;152.033425368;-1.0605000000000004;3.0;3.0
38;O=C(O)CC(=O)O;1;104.01095860800001;-0.4543;2.0;2.0
39;NC(CO)C(=O)NCC(=O)NC(CO)C(=O)O;1;249.0960852;-4.016099999999996;6.0;6.0
40;O=C(O)C(=O)O;1;89.995308544;-0.8443999999999998;2.0;2.0
41;CC(N)C(=O)NCC(=O)NC(C)C(=O)O;1;217.10625596;-1.9608999999999979;4.0;4.0
42;NC(CO)C(=O)O;1;105.042593084;-1.6093999999999997;3.0;3.0
43;NC(CO)C(=O)NC(CC(=O)O)C(=O)O;1;220.069536104;-2.649899999999999;5.0;5.0
44;CC(N)C(=O)NC(CO)C(=O)O;1;176.079706864;-2.104699999999999;4.0;4.0
45;Nc1nc2[nH]cnc2c(=O)[nH]1;1;151.04940978;-0.7716000000000003;4.0;3.0
46;O=C(O)C1CCCN1;1;115.063328528;-0.177;2.0;2.0
47;CC(N)C(=O)NCC(=O)NC(CC(=O)O)C(=O)O;1;261.0960852;-2.5060999999999973;5.0;5.0
48;O=CC(=O)O;1;74.00039392400001;-0.7301;2.0;1.0
49;CC(NC(=O)CNC(=O)C(N)CO)C(=O)O;1;233.10117058;-2.988499999999997;5.0;5.0
50;NC(CC(=O)O)C(=O)O;1;133.037507704;-1.127;3.0;3.0
