smiles;Kin (i.e. how many reactions give this molecule);Kout (i.e. how many reactions use this molecule as substrate)
N#CC(C#N)(CCC=O)NC(N)=O;1;25
N#CCNCC(N)=O;1;15
COC(=O)CC(NCC(=O)NCCC#N)C(=O)OC;1;18
N#CCCN(CC#N)CC(=O)O;1;7
COC(=O)CN(CC#N)C(=N)NC(=N)N;1;15
N#CC(O)C(=O)O;1;4
N#CC(=N)N(CCC(N)=O)CC(N)=O;1;0
CC(C#N)Nc1[nH]cnc1C#N;1;9
N#CCCNC(Cc1ccccc1)C(N)=O;1;14
NC(=S)CCN(C=O)CC(N)=S;1;0
C=CC=Nc1[nH]cnc1C(N)=O;1;1
N=C(NCC(N)=O)C(N)=NCC(N)=O;1;0
N#CCCNC(Cc1ccccc1)C(N)=S;1;4
NC(=O)CN=CC(O)C(O)CO;1;1
NC(=O)c1nc[nH]c1N=CC(=CCO)c1ccccc1;1;1
N#CCN(CC#N)C(=O)CNC(=O)CNC(=N)N;1;2
c1ccc(Cc2cnc[nH]2)cc1;1;5
C=CC=NCC(=O)NCC(N)=O;1;1
N#CCCNC=O;1;2
N#CCCNC(CC(N)=O)C(N)=O;1;13
CC=NCCC#N;1;1
COC(=O)CC(NCC(=O)O)C(=O)OC;1;16
N#CCCN(CC(=O)O)CC(=O)O;1;7
COC(=O)CNC(=N)NC(=N)N;1;15
C=C(C=Nc1[nH]cnc1CC#N)c1ccccc1;1;1
C=CC#N;1;19
N#CCN(CC#N)C(N)=O;1;1
N#CCN(C(=O)CNC(N)=O)c1[nH]cnc1C(=O)O;1;10
N#CCN(CC(N)=O)C(=N)NC(=N)N;1;1
N#CC=CN(CCC#N)c1ncnc2[nH]cnc12;1;0
N#CCCN(CC#N)CC(=O)OC(CC(N)=O)C(N)=O;1;6
N#CCCN(CCC#N)C(=O)CNC(N)=O;1;1
O=c1nc(N=CC(O)Cc2ccccc2)cc[nH]1;1;1
CC(C#N)NC(C#N)Cc1ccccc1;1;14
C=CC=Nc1ncnc2[nH]cnc12;1;1
C=Cc1nc(N)nc(N(CCC#N)CC(=O)O)n1;2;19
NC(=O)NCC(=S)NCCC(=O)O;1;0
N#CCCN(C=O)C(C(N)=O)C(N)=O;1;1
N#CCC(C#N)NCCO;1;12
N#CC(Cc1ccccc1)Nc1ncnc2[nH]cnc12;1;9
N=C(N)NC(=N)N(CCC(N)=O)CC(N)=O;1;1
N#CCCNCC(=O)NCC#N;1;15
NC(=O)CN(CC(N)=O)C(N)=O;1;0
O=CCCNc1ncnc(C=O)c1NCCC=O;1;18
N#CCC(C#N)NC=O;1;2
C=CC=NCCC(N)=O;1;1
N=C(N)NCC=Nc1[nH]cnc1C(=O)O;1;1
C=C(c1ccccc1)C(C#N)N=CC(O)C(O)CO;1;1
N#CCC(C#N)N=CC(O)Cc1ccccc1;1;1
N#CCCN(CCC#N)C(=N)N;1;4
N=C(N)NCC(=O)Nc1ncnc2[nH]cnc12;1;2
NC(=O)NCC(=O)NCC(=O)NCC(=O)O;1;4
N#CCN;3;33
N#CCN(CC#N)c1nc(N)nc(CNC(N)=O)n1;2;17
C=C(C=C(C=NCC(N)=O)c1ccccc1)c1ccccc1;1;1
NC(=S)CNc1[nH]cnc1C(=O)O;1;3
C=C(C=NCC(=O)N(CCC#N)CC(=O)O)c1ccccc1;1;1
C=C(c1ccccc1)C(C#N)N=CC(=CC)c1ccccc1;1;1
C=C(c1ccccc1)C(C#N)NC(N)=O;1;2
N#CCN(CC#N)C(=O)C(=O)N(CC#N)CC#N;1;4
N#Cc1ncnc(N)c1N;2;22
O=C(O)CCNC(=S)CO;1;0
CC=C(C=O)c1ccccc1;1;27
N#CCN=CCc1ccccc1;1;1
CC(C#N)NC(=O)CN;1;33
NC(=O)c1ncnc(N)c1N;1;20
O=c1[nH]c(=O)c2nc[nH]c2[nH]1;3;2
NC(=O)C(N=CC(O)Cc1ccccc1)C(N)=O;1;1
COC(=O)C(=O)OC;1;16
N#CCCn1c(C#N)c(N)[nH]c1=O;1;15
N#CCCN(CCC#N)CC(=O)OC(CC(N)=O)C(N)=O;1;6
CC=NC(CC(=O)O)C(=O)O;1;1
N#CCCN(CC#N)C(N)=O;1;1
N#CCNCC(=O)N(CC#N)CC(=O)O;1;15
COC(=O)CC(NC(C#N)Cc1ccccc1)C(=O)OC;1;19
NCC(=O)NCC(=O)NCC(N)=O;1;29
N#CC(CO)N=CC(O)Cc1ccccc1;1;1
N#CCCN(CC#N)c1nc(N)nc(CNC(N)=O)n1;2;17
N#CCCNC(=O)CN=CC(O)C(O)CO;1;1
N=C(N)NCC(=S)NCC(=O)O;1;0
COC(=O)CCNC(Cc1ccccc1)C(=O)O;1;19
N#CCCNc1ncnc2[nH]cnc12;1;10
N#CCN(CC(N)=O)C(=O)CNC(=N)N;1;2
CC=C(C=NCC(=O)NC(C#N)CC#N)c1ccccc1;1;1
N#CCC1NC(=O)N=C1N;1;0
N#CCCNc1[nH]cnc1C#N;2;10
NC(=O)CCN(C=O)C(C(N)=O)C(N)=O;1;0
NC(=S)CCc1ccccc1;1;4
C=C(C=NCC(=O)NC(C#N)CC#N)c1ccccc1;1;1
N#CCC(C#N)NC(=O)CN=CC(O)Cc1ccccc1;1;1
C=CC=NCCC#N;1;1
NC(=S)CCNC(C(N)=S)C(N)=S;1;2
O=C(O)CCC(=O)O;3;4
C=C(c1ccccc1)C(O)C(N)=S;1;3
N#CCCN(C=O)C(C#N)Cc1ccccc1;1;3
C=C(c1ccccc1)C(O)C(N)=O;1;3
N#CC=CNC(C#N)CO;2;0
N#CCCNC(=N)N;1;4
N#CCCN=CC(O)CO;1;1
CC=O;3;25
NC(=O)CNC(=O)CN=CC(=CCO)c1ccccc1;1;1
N#CCCNc1ncco1;1;15
O=C(O)c1nc[nH]c1N=CCO;1;1
N#CC(Cc1ccccc1)NC(N)=O;1;2
CC=C(C=NCC(N)=O)c1ccccc1;1;1
N#CC(CO)N=CCc1ccccc1;1;1
N#CCCNC(=O)C(=O)NCCC#N;1;4
CC=Nc1[nH]cnc1C(N)=O;1;1
N#CC=CNc1nc(=O)[nH]c2[nH]cnc12;2;0
N#CCCN(C=O)CCC#N;1;2
C=C(c1ccccc1)C(N)C#N;1;16
N#CCN(CCc1ccccc1)C(N)=O;1;2
C=CC=NC(C)C#N;1;1
O=CCCN(CCC=O)C(C=O)C=O;1;20
NC(=O)CCNCC(=O)O;1;13
CC=C(C=NCC(=O)NCC(N)=O)c1ccccc1;1;1
NC(=S)CCN(CCC(N)=S)CC(=O)O;1;2
N#CCN(C(=O)CNC(=N)NC(=N)N)c1[nH]cnc1C#N;1;2
N#CCCN(CC#N)C(=O)CN=CC(=O)O;1;1
NC(=O)c1nc[nH]c1N=CCc1ccccc1;1;1
N#CC=CN(CCC#N)CC(N)=O;1;0
O=C(CO)CO;1;23
N#CCCN(CC#N)C(=O)CNC(N)=O;2;1
NC(=O)c1nc[nH]c1N=CC(O)Cc1ccccc1;1;1
N#CC(=N)N(CC(N)=O)CC(=O)O;1;0
N#CCCN(CC(=O)O)c1nc(N)nc(CNC(N)=O)n1;2;17
N#CCN(C(N)=O)c1[nH]cnc1C#N;1;6
N#CCN(C(=O)CNC(=N)N)c1[nH]cnc1C(N)=O;1;3
C=C(C=NCC(=O)N(CC#N)CC#N)c1ccccc1;1;1
O=C(O)C(=O)Cc1ccccc1;1;17
C=C(C=NC(C)C#N)c1ccccc1;1;1
C=C(C=O)c1ccccc1;2;27
C=C(C=NC(C(N)=O)C(N)=O)c1ccccc1;1;1
NC(=O)COC(=O)C(O)Cc1ccccc1;1;6
CC=C(c1ccccc1)C(O)C#N;1;5
O=C(O)CNc1[nH]cnc1C(=O)O;3;6
CC=C(C=NC(Cc1ccccc1)C(=O)O)c1ccccc1;1;1
N#CCNCCC(=O)O;1;15
N#CCNC(=O)CNC(=O)CNC(=N)N;1;2
N#CCc1nc[nH]c1NC(=N)C#N;1;0
N=C(N)NC(=N)NCC(=O)OC(CC(N)=O)C(N)=O;1;2
NC(=O)COC(=O)CC(O)C(=O)OCC(N)=O;2;4
N=CN;1;10
N#CCCN(CC(N)=O)C(=N)C#N;1;0
CC=NCC(=O)N(CC#N)CC#N;1;1
CC(C#N)N=CCc1ccccc1;1;1
NC(=O)CCNC(N)=O;1;0
N=C(N)Nc1ncnc(C(N)=S)c1NC(=N)N;1;4
N#CCN(CC(=O)O)C(=N)NC(=N)N;1;1
N#CCN(CC#N)C(=N)NC(=N)N;1;2
C=C(C=C(c1ccccc1)C(N)C#N)c1ccccc1;1;14
N#CC(CO)NC(C(N)=O)C(N)=O;1;5
NC(=S)CC(NC=O)C(N)=S;1;0
NC(=O)CC(N=CCO)C(N)=O;1;1
CC=NC(Cc1ccccc1)C(N)=O;1;1
N#CCN(CCc1ccccc1)C(=N)C#N;1;0
NC(=O)c1nc[nH]c1NC=O;1;3
N#CCCN(C=O)CC(N)=O;1;2
COC(=O)CCNC(C)C#N;1;20
N#CCC(C#N)N=CC(=O)O;1;1
OCC=C(C=Nc1ncnc2[nH]cnc12)c1ccccc1;1;1
N#Cc1ncn(C(=N)N)c1NC(N)=O;1;1
N=C(N)NCC=NC(CC(N)=O)C(N)=O;1;1
N#CC=CN;2;1
NC(=O)C=CNc1[nH]cnc1C(N)=O;1;1
N#CCCN(CC#N)CCC#N;1;4
N=C(N)NCC=Nc1[nH]cnc1C(N)=O;1;1
N#CCCN(CC#N)C(=O)CNC(=S)CO;1;1
NC(=O)NCC(=O)Nc1ncnc2[nH]cnc12;1;6
N=C(N)NC(=N)NCC(=O)NCC(=O)O;2;1
N=C(N)NCC(=O)N(CC(N)=O)c1[nH]cnc1C(N)=O;1;1
N=C1CNC(=O)N1;1;0
NC(=S)C(Cc1ccccc1)NCC(=O)O;1;3
O=C(O)CNC(=O)CN=CC(O)CO;1;1
N#CCN(CC(=O)O)C(=O)CNC=CC(N)=O;1;0
N#CCC(C#N)N(CC#N)C(N)=O;1;1
NC(=O)CNC(=S)c1ncnc(N)c1N;1;4
NC(=O)C(Cc1ccccc1)N=CCO;1;1
NC(=O)c1nc[nH]c1NCCc1ccccc1;2;7
NC1=NC(=O)N(CC(=O)O)CC1;1;0
N#CCCN(C(=O)CNC(=N)NC(=N)N)C(C#N)CC#N;1;1
N=C(N)NCC=Nc1nc(=O)[nH]c2[nH]cnc12;1;1
O=C(O)C=Nc1ncnc2[nH]cnc12;1;1
N#CCCNCCC(N)=O;1;15
NC(=O)CCN=CCc1ccccc1;1;1
NC(=O)N(CCC(N)=S)CC(=O)O;1;2
N=C(N)NCC=NCC(N)=O;1;1
N#CCNC(CC(N)=O)C(N)=O;1;13
N#CCC(C#N)NC(=O)CN;1;33
N=C(N)NC(Cc1ccccc1)C(N)=S;1;4
N#Cc1[nH]c(=O)[nH]c1NC(=O)CNC(=N)NC(=N)N;1;1
NC(=S)CCNCC(=O)O;1;0
NC(=O)CNCCC(N)=S;1;0
NC=Nc1[nH]cnc1C(N)=O;1;4
NC(=O)CCNCCC(=O)OCC(N)=O;1;11
Nc1[nH]cnc1C=O;1;21
N=C(N)NCC(=S)NCC(=O)NCC(=O)O;1;0
C#CC(N)=O;1;0
N#CCCN(CC(=O)O)C(=O)CN=CC(=O)O;1;1
N#Cc1nc[nH]c1N=CC(=O)O;1;1
O=CC(O)C(O)C(O)Cc1ccccc1;1;14
N#CCN(CC(=O)OCC(N)=O)C(=N)NC(=N)N;1;2
NC(=O)CNC(=O)CNC(N)=O;2;0
N#CC=CN(CC#N)CC(N)=O;1;0
N=C(N)NCC(=O)Nc1[nH]cnc1C(N)=O;1;1
NC(=O)CCNC(=S)CO;1;0
N#CCC(C#N)N(CC#N)C(=O)CNC(=N)N;1;3
N#CCCN(CCC#N)c1[nH]cnc1C(N)=O;1;8
N#CCCN(CCc1ccccc1)CC(=O)O;1;8
CSCCC(=O)OCC(N)=O;1;4
N#CC=CN(CCC#N)CCC#N;1;0
N=C(N)NCCC=O;1;25
NC(=O)CCN(CCC(N)=O)C(C(N)=O)C(N)=O;2;0
N#CCNC(C#N)CO;2;12
O=CCNc1[nH]cnc1C=O;2;13
N#CCNC(=O)CNC(=N)NC(=N)N;2;1
NC(=O)CNC(=S)CCC(=S)NCC(N)=O;1;0
Nc1ncc(CO)o1;1;17
CC=C(C=NCC(=O)N(CC#N)CC(=O)O)c1ccccc1;1;1
N#CC(C#N)N=CCc1ccccc1;1;1
N#CCCNC(=S)CO;1;1
N#CCC(C#N)NC=CC(N)=O;1;0
NC(=O)CC=O;2;15
